iso3,country,region,income_group,population_year,population,gdp_current_usd_year,gdp_current_usd,rd_expenditure_pct_gdp_year,rd_expenditure_pct_gdp,undernourishment_pct_year,undernourishment_pct,child_stunting_pct_year,child_stunting_pct,adult_obesity_pct_year,adult_obesity_pct,agrifood_ghg_ktco2eq_year,agrifood_ghg_ktco2eq,agrifood_ghg_tco2eq_per_capita,cereal_import_dependency_period,cereal_import_dependency_period_end_year,cereal_import_dependency_pct,household_food_waste_kg_capita,household_food_waste_tonnes_year,household_food_waste_confidence,household_food_waste_source,unep_country,unep_region,m49_code,gdp_per_capita_current_usd,log10_population,log10_gdp_current_usd,log10_gdp_per_capita_current_usd,cereal_import_dependency_vulnerability_pct,need_food_security_score,need_child_stunting_score,need_adult_obesity_score,need_nutrition_score,need_food_waste_score,need_sustainability_score,need_supply_vulnerability_score,n_need_axes_available,food_system_need_index_v1,household_food_waste_confidence_group,food_system_need_index_v1_min3,food_system_need_index_main_min4,food_system_need_index_strict_all5,need_social_score,need_environmental_score,need_resilience_score,dominant_need_profile,missing_need_axes,flag_main_need_index_available,flag_strict_need_index_available,flag_population_ge_1m,flag_food_waste_higher_confidence,flag_food_waste_low_confidence,rank_need_v1_min3,rank_need_main_min4,rank_need_strict_all5
USA,United States,North America,High income,2024,340110988.0,2024.0,29184890000000.0,2023.0,3.44716,2023.0,2.5,2022.0,3.8,2016.0,36.25,2021.0,1057874.5408,3.1103803703042963,2018-2020,2020.0,-23.2,73.0,24716539.0,High confidence,UNEP Food Waste Index Report 2024 Annex 3,United States of America,Northern America,840.0,85809.90038463562,8.531620662955014,13.465158060761372,4.933537397806361,0.0,0.1893491124260355,0.1349693251533742,0.9414893617021276,0.538229343427751,0.213953488372093,0.7830188679245284,0.1005586592178771,5,0.365021894273657,higher confidence,0.36502189427365694,0.36502189427365694,0.36502189427365694,0.3637892279268932,0.49848617814831064,0.1005586592178771,sustainability,none,True,True,True,True,False,170.0,158.0,141.0
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,2024,36361859.0,2024.0,114965293466.611,2024.0,0.10416,2023.0,2.5,2021.0,6.5,2016.0,16.4,2021.0,66147.0353,1.8191323853931671,2018-2020,2020.0,29.1,86.0,2968299.0,Very low confidence,UNEP Food Waste Index Report 2024 Annex 3,Uzbekistan,Central Asia,860.0,3161.7001063287494,7.5606460784224145,11.060566752259197,3.4999206738367805,29.1,0.1893491124260355,0.2269938650306748,0.3723404255319149,0.2996671452812948,0.4,0.5141509433962265,0.4134078212290503,5,0.3633150044665214,low or very low confidence,0.36331500446652143,0.36331500446652143,0.36331500446652143,0.24450812885366513,0.45707547169811324,0.4134078212290503,sustainability,none,True,True,True,False,True,171.0,159.0,142.0
VCT,St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income,2024,100616.0,2024.0,1157207407.40741,2002.0,0.1139,2023.0,6.1,,,2016.0,23.8,2021.0,129.8688,1.290737059712173,2018-2020,2020.0,89.6,91.0,9134.0,Low confidence,UNEP Food Waste Index Report 2024 Annex 3,Saint Vincent & Grenadines,Latin America and the Caribbean,670.0,11501.226518718791,5.002667047908652,9.063411204949906,4.0607441570412535,89.6,0.5443786982248521,,0.6861702127659575,0.6861702127659575,0.6767441860465117,0.320754716981132,0.8044692737430168,5,0.6065034175522941,low or very low confidence,0.6065034175522941,0.6065034175522941,0.6065034175522941,0.6152744554954048,0.49874945151382183,0.8044692737430168,supply_vulnerability,none,True,True,False,False,True,44.0,42.0,36.0
VEN,"Venezuela, RB",Latin America & Caribbean,Not classified,2024,28405543.0,2014.0,29024373424553.1,2014.0,0.33713,2023.0,5.9,2009.0,13.4,2016.0,25.5,2021.0,102586.5625,3.6114980269871975,2018-2020,2020.0,61.2,93.0,2626859.0,Medium confidence,UNEP Food Waste Index Report 2024 Annex 3,Venezuela,Latin America and the Caribbean,862.0,1021785.5516633884,7.453403095660441,13.462762853003332,6.0093597573428905,61.2,0.5355029585798816,0.4785276073619632,0.75,0.6142638036809815,0.7976744186046512,0.8349056603773585,0.6396648044692738,5,0.6844023291424293,medium confidence,0.6844023291424293,0.6844023291424293,0.6844023291424293,0.5748833811304316,0.8162900394910049,0.6396648044692738,sustainability,none,True,True,True,False,False,16.0,14.0,11.0
VGB,British Virgin Islands,Latin America & Caribbean,High income,2024,39471.0,,,,,,,,,,,2021.0,25.0879,0.6356033543614299,,,,88.0,2641.0,Low confidence,UNEP Food Waste Index Report 2024 Annex 3,British Virgin Islands,Latin America and the Caribbean,92.0,,4.596278129409967,,,,,,,,0.4860465116279069,0.0849056603773584,,2,,low or very low confidence,,,,,0.28547608600263263,,food_waste,food_security; nutrition; supply_vulnerability,False,False,False,False,True,,,
VIR,Virgin Islands (US),Latin America & Caribbean,High income,2024,104377.0,2022.0,28032000000.0,2007.0,0.02717,,,,,,,2021.0,115.4378,1.105969705969706,,,,88.0,8802.0,Low confidence,UNEP Food Waste Index Report 2024 Annex 3,United States Virgin Islands,Latin America and the Caribbean,850.0,268564.9137262041,5.018604810222361,10.447654084487986,5.429049274265625,,,,,,0.4860465116279069,0.2358490566037736,,2,,low or very low confidence,,,,,0.3609477841158403,,food_waste,food_security; nutrition; supply_vulnerability,False,False,False,False,True,,,
VNM,Viet Nam,East Asia & Pacific,Lower middle income,2024,100987686.0,2024.0,476388230307.175,2023.0,0.41456,2023.0,5.3,2023.0,18.2,2016.0,2.1,2021.0,149597.0305,1.4813393238854884,2018-2020,2020.0,10.3,72.0,7079811.0,Medium confidence,UNEP Food Waste Index Report 2024 Annex 3,Viet Nam,South-eastern Asia,704.0,4717.290287324487,8.004268421027326,11.6779610232226,3.673692602195273,10.3,0.5059171597633136,0.6104294478527608,0.0053191489361702,0.3078742983944655,0.2093023255813953,0.3915094339622642,0.2625698324022346,5,0.3354346100207347,medium confidence,0.33543461002073466,0.33543461002073466,0.33543461002073466,0.4068957290788896,0.30040587977182975,0.2625698324022346,food_security,none,True,True,True,False,False,179.0,166.0,149.0
VUT,Vanuatu,East Asia & Pacific,Lower middle income,2024,327777.0,2024.0,1161251868.03498,,,2023.0,7.2,2013.0,28.9,2016.0,25.15,2021.0,411.5313,1.2555221995442023,2018-2020,2020.0,100.0,141.0,46687.0,Medium confidence,UNEP Food Waste Index Report 2024 Annex 3,Vanuatu,Melanesia,548.0,3542.8107159287565,5.515578476008336,9.064926425625275,3.549347949616941,100.0,0.6035502958579881,0.8098159509202454,0.7393617021276596,0.7745888265239524,0.9604651162790696,0.3018867924528302,0.9636871508379888,5,0.7208356363903659,medium confidence,0.7208356363903659,0.7208356363903659,0.7208356363903659,0.6890695611909703,0.6311759543659499,0.9636871508379888,supply_vulnerability,none,True,True,False,False,False,7.0,5.0,3.0
WSM,Samoa,East Asia & Pacific,Upper middle income,2024,218019.0,2024.0,1068025243.63929,,,2023.0,3.6,2019.0,7.3,2016.0,47.45,2021.0,338.0398,1.5505061485466862,2017-2019,2019.0,98.6,86.0,18857.0,Very low confidence,UNEP Food Waste Index Report 2024 Annex 3,Samoa,Polynesia,882.0,4898.771408176764,5.338494343309143,9.028581517714713,3.690087174405571,98.6,0.4201183431952662,0.2883435582822086,0.973404255319149,0.6308739068006788,0.4,0.419811320754717,0.8994413407821229,5,0.5540489823065571,low or very low confidence,0.5540489823065571,0.5540489823065571,0.5540489823065571,0.5254961249979725,0.40990566037735854,0.8994413407821229,supply_vulnerability,none,True,True,False,False,True,75.0,70.0,58.0
XKX,Kosovo,Europe & Central Asia,Upper middle income,2024,1594353.0,2024.0,11148602232.663,,,,,,,,,,,,,,,,,,,,,,6992.555746853426,6.2025844832956,10.047220420685154,3.844635937389552,,,,,,,,,0,,,,,,,,,,food_security; nutrition; food_waste; sustainability; supply_vulnerability,False,False,True,False,False,,,
YEM,"Yemen, Rep.",Middle East & North Africa,Low income,2024,40583164.0,2021.0,42123383259.0738,,,,,2022.0,48.5,2016.0,17.0,2021.0,17727.8054,0.4368265963688785,2018-2020,2020.0,92.8,104.0,3490097.0,Low confidence,UNEP Food Waste Index Report 2024 Annex 3,Yemen,Western Asia,887.0,1037.9521729521582,7.608345903076191,10.624523245508184,3.0161773424319933,92.8,,0.98159509202454,0.3829787234042553,0.6822869077143976,0.8837209302325582,0.0283018867924528,0.8324022346368715,4,0.6066779898440701,low or very low confidence,0.60667798984407,0.60667798984407,,0.6822869077143976,0.4560114085125055,0.8324022346368715,food_waste,food_security,True,False,True,False,True,43.0,41.0,
ZAF,South Africa,Sub-Saharan Africa,Upper middle income,2024,64007187.0,2024.0,400260724226.067,2022.0,0.61479,2023.0,10.0,2017.0,21.3,2016.0,27.5,2021.0,95884.5931,1.4980285432634306,2018-2020,2020.0,7.8,47.0,2819981.0,Medium confidence,UNEP Food Waste Index Report 2024 Annex 3,South Africa,Sub-Saharan Africa,710.0,6253.371581945431,7.806228741158885,11.602342976843202,3.796114235684317,7.8,0.6627218934911243,0.6625766871165644,0.8138297872340425,0.7382032371753035,0.041860465116279,0.4009433962264151,0.2458100558659217,5,0.4179078095750087,medium confidence,0.4179078095750087,0.4179078095750087,0.4179078095750087,0.7004625653332139,0.22140193067134706,0.2458100558659217,nutrition,none,True,True,True,False,False,146.0,137.0,120.0
ZMB,Zambia,Sub-Saharan Africa,Lower middle income,2024,21314956.0,2024.0,26325775287.0226,2008.0,0.27819,2023.0,37.2,2018.0,34.6,2016.0,8.0,2021.0,76247.5499,3.577185423230524,2018-2020,2020.0,-0.1,78.0,1559958.0,Medium confidence,UNEP Food Waste Index Report 2024 Annex 3,Zambia,Sub-Saharan Africa,894.0,1235.0846648251395,7.328684440479424,10.420381169901887,3.091696729422462,0.0,0.9644970414201184,0.8773006134969326,0.1861702127659574,0.531735413131445,0.2697674418604651,0.8254716981132075,0.1005586592178771,5,0.5384060507486227,medium confidence,0.5384060507486226,0.5384060507486226,0.5384060507486226,0.7481162272757818,0.5476195699868363,0.1005586592178771,food_security,none,True,True,True,False,False,83.0,78.0,66.0
ZWE,Zimbabwe,Sub-Saharan Africa,Lower middle income,2024,16634373.0,2024.0,44187704410.1191,,,2023.0,19.7,2024.0,25.9,2016.0,15.0,2021.0,24698.5559,1.4847903134070637,2018-2020,2020.0,60.3,48.0,791249.0,Medium confidence,UNEP Food Waste Index Report 2024 Annex 3,Zimbabwe,Sub-Saharan Africa,716.0,2656.409376543324,7.221006435636339,10.645301440170256,3.424295004533919,60.3,0.8313609467455622,0.754601226993865,0.3457446808510638,0.5501729539224645,0.0488372093023255,0.3962264150943396,0.6256983240223464,5,0.4904591698174076,medium confidence,0.49045916981740756,0.49045916981740756,0.49045916981740756,0.6907669503340133,0.22253181219833254,0.6256983240223464,food_security,none,True,True,True,False,False,114.0,109.0,95.0
