iso3,country,region,income_group,population,food_system_need_index_main_min4,food_system_need_index_strict_all5,n_need_axes_available,dominant_need_profile,missing_need_axes,need_food_security_score,need_nutrition_score,need_food_waste_score,need_sustainability_score,need_supply_vulnerability_score,undernourishment_pct,child_stunting_pct,adult_obesity_pct,household_food_waste_kg_capita,household_food_waste_confidence,agrifood_ghg_tco2eq_per_capita,cereal_import_dependency_pct
ESP,Spain,Europe & Central Asia,High income,48848840.0,0.4035755072924646,0.4035755072924646,5,nutrition,none,0.1893491124260355,0.6808510638297872,0.1209302325581395,0.5518867924528302,0.4748603351955307,2.5,,23.700000000000003,61.0,Eurostat,1.892643622653066,36.4
HUN,Hungary,Europe & Central Asia,High income,9562065.0,0.40012732561704817,0.40012732561704817,5,nutrition,none,0.1893491124260355,0.7978723404255319,0.1581395348837209,0.7547169811320755,0.1005586592178771,2.5,,26.4,66.0,Eurostat,2.8268118549706576,-90.5
MNG,Mongolia,East Asia & Pacific,Upper middle income,3524788.0,0.3999923898106434,0.3999923898106434,5,sustainability,none,0.1893491124260355,0.4225949614932776,0.0046511627906976,0.981132075471698,0.4022346368715084,2.5,8.8,20.35,18.0,Medium confidence,16.702809786006988,28.2
BEL,Belgium,Europe & Central Asia,High income,11858610.0,0.3938559813845714,0.3938559813845714,5,supply_vulnerability,none,0.1893491124260355,0.3278292651089936,0.1976744186046511,0.589622641509434,0.664804469273743,2.5,1.9,22.05,71.0,Eurostat,2.0012255146260816,65.1
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,20592571.0,0.39080040070620203,0.39080040070620203,5,sustainability,none,0.1893491124260355,0.4186137579950398,0.4860465116279069,0.7594339622641509,0.1005586592178771,2.5,8.0,20.8,88.0,Very low confidence,2.8395863294583275,-87.2
BLR,Belarus,Europe & Central Asia,Upper middle income,9132629.0,0.390656117287332,0.390656117287332,5,sustainability,none,0.1893491124260355,0.3705945698994909,0.1976744186046511,0.9386792452830188,0.2569832402234637,2.5,1.2,24.200000000000003,71.0,Low confidence,9.414219903162603,9.4
SEN,Senegal,Sub-Saharan Africa,Lower middle income,18501984.0,0.38810272104484633,0.38810272104484633,5,supply_vulnerability,none,0.4822485207100592,0.4019873384675629,0.2558139534883721,0.2641509433962264,0.5363128491620112,5.1,17.5,8.45,77.0,Medium confidence,1.212437217543805,43.3
MKD,North Macedonia,Europe & Central Asia,Upper middle income,1824359.0,0.3827471468329116,0.3827471468329116,5,sustainability,none,0.1893491124260355,0.3737436366009659,0.4,0.5707547169811321,0.3798882681564245,2.5,4.3,22.35,86.0,Low confidence,1.941996778046426,24.4
AUT,Austria,Europe & Central Asia,High income,9177982.0,0.3808624637343823,0.3808624637343823,5,sustainability,none,0.1893491124260355,0.4734042553191489,0.3581395348837209,0.5566037735849056,0.3268156424581006,2.5,,20.1,83.0,Eurostat,1.902495243507777,17.8
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,7221868.0,0.3763942022135352,0.3763942022135352,5,food_security,none,0.4822485207100592,0.4381118652917373,0.4,0.2264150943396226,0.3351955307262569,5.1,14.1,16.3,86.0,Very low confidence,1.0750733189806294,18.5
